iter	Logloss
0	0.6652241169
1	0.6394575831
2	0.6175038515
3	0.5977897089
4	0.5840276492
5	0.5691022162
6	0.5574548064
7	0.546960647
8	0.5353283328
9	0.5264348961
10	0.5186288992
11	0.5103732786
12	0.5026792756
13	0.4972920184
14	0.4920029456
15	0.4875490608
16	0.4823709164
17	0.4783674338
18	0.4747092087
19	0.4716129892
20	0.4670013845
21	0.463442105
22	0.4601108072
23	0.456913391
24	0.4547435292
25	0.4530739162
26	0.4515135608
27	0.4493443119
28	0.4478885366
29	0.4464284227
30	0.4444101846
31	0.4423601454
32	0.4404854052
33	0.4395390099
34	0.437988391
35	0.4365817518
36	0.4353347271
37	0.4345811573
38	0.4337737888
39	0.4330420588
40	0.4323115644
41	0.431490619
42	0.4308231811
43	0.4300954076
44	0.4291383358
45	0.4285324209
46	0.4280399782
47	0.4275205925
48	0.4268662722
49	0.4263719967
50	0.4258562106
51	0.4254055309
52	0.4243534948
53	0.4236768819
54	0.4228962176
55	0.4223924106
56	0.422047214
57	0.4217615458
58	0.4212906378
59	0.4209123112
60	0.4206542886
61	0.4203726737
62	0.4200713002
63	0.4193612096
64	0.4190146178
65	0.4186282573
66	0.418165591
67	0.4179051397
68	0.4177243741
69	0.4170909874
70	0.4169599377
71	0.4166477317
72	0.4163840003
73	0.4161549163
74	0.4159480551
75	0.4153834666
76	0.4151211214
77	0.4148352478
78	0.4146302918
79	0.414377317
80	0.4141744259
81	0.4139208124
82	0.4137496728
83	0.4133245723
84	0.4131049934
85	0.4128523477
86	0.4126540938
87	0.4124892065
88	0.4123824281
89	0.4120327871
90	0.4118616144
91	0.4116958769
92	0.4114495624
93	0.4112055316
94	0.4110505316
95	0.4107646034
96	0.410604675
97	0.4105038929
98	0.4103348552
99	0.4101632476
100	0.4100351837
101	0.4098944201
102	0.4097498328
103	0.4096484793
104	0.4095074217
105	0.4093657124
106	0.4092501031
107	0.4089829675
108	0.408900527
109	0.4088219671
110	0.4086963547
111	0.4085708302
112	0.4084949598
113	0.4082821781
114	0.4081677389
115	0.4081013933
116	0.4080168791
117	0.4079539787
118	0.4078307701
119	0.407811363
120	0.4077702302
121	0.4077044747
122	0.4075898266
123	0.4073417104
124	0.4071394377
125	0.4070991121
126	0.4070684291
127	0.4068875775
128	0.4068234507
129	0.4067817304
130	0.4067378594
131	0.4067010437
132	0.4065567635
133	0.4065174078
134	0.4064310549
135	0.4063417779
136	0.4062446019
137	0.406170806
138	0.406147124
139	0.4060979405
140	0.4059448221
141	0.405913121
142	0.4058690627
143	0.405816788
144	0.4057611084
145	0.4057086434
146	0.4056611219
147	0.4055604578
148	0.4054976809
149	0.4054272181
150	0.4053496149
151	0.4052179014
152	0.405176727
153	0.4051214294
154	0.4050594661
155	0.4050055924
156	0.4049619116
157	0.404889525
158	0.4048109588
159	0.4047272
160	0.4046716083
161	0.4046218975
162	0.4045728312
163	0.4044881724
164	0.4044109746
165	0.4043503819
166	0.4042889105
167	0.4042254632
168	0.4041738761
169	0.4040791014
170	0.4040563988
171	0.4039757524
172	0.4039237805
173	0.4038812144
174	0.4038219218
175	0.4037416488
176	0.4036513838
177	0.4036165936
178	0.4034598259
179	0.403417163
180	0.4033951307
181	0.4033573254
182	0.4032799438
183	0.4032547193
184	0.4031394787
185	0.4030780232
186	0.4029936918
187	0.4029665544
