iter	Passed	Remaining
0	5	28918
1	11	27643
2	15	25655
3	19	24681
4	24	23985
5	28	23789
6	33	23625
7	37	23260
8	43	23936
9	47	23857
10	52	23893
11	57	23701
12	61	23536
13	65	23368
14	69	23081
15	73	22996
16	77	22843
17	82	22707
18	86	22563
19	90	22410
20	94	22344
21	98	22353
22	103	22400
23	107	22382
24	112	22379
25	116	22361
26	121	22303
27	127	22557
28	131	22523
29	135	22468
30	140	22499
31	144	22439
32	149	22439
33	153	22425
34	158	22418
35	161	22331
36	165	22245
37	170	22223
38	173	22124
39	178	22132
40	182	22109
41	187	22125
42	191	22085
43	195	22015
44	199	22009
45	203	21938
46	207	21916
47	212	21887
48	216	21886
49	220	21853
50	224	21805
51	231	22047
52	235	22018
53	239	21981
54	244	21940
55	248	21934
56	253	21979
57	257	21939
58	261	21932
59	265	21863
60	269	21823
61	273	21756
62	277	21717
63	281	21699
64	285	21679
65	289	21636
66	293	21622
67	297	21573
68	301	21527
69	306	21592
70	310	21574
71	315	21589
72	320	21621
73	324	21579
74	328	21547
75	332	21525
76	336	21521
77	340	21469
78	344	21471
79	348	21425
80	352	21430
81	356	21383
82	360	21378
83	365	21373
84	369	21366
85	373	21325
86	377	21298
87	380	21263
88	384	21216
89	389	21230
90	393	21200
91	396	21171
92	400	21153
93	405	21176
94	409	21142
95	414	21157
96	418	21136
97	422	21153
98	426	21128
99	430	21110
100	436	21160
101	441	21183
102	447	21291
103	453	21335
104	458	21357
105	462	21341
106	467	21362
107	472	21388
108	477	21408
109	482	21459
110	487	21457
111	492	21492
112	497	21510
113	502	21522
114	505	21492
115	509	21465
116	513	21450
117	518	21470
118	523	21461
119	528	21500
120	532	21478
121	537	21498
122	544	21608
123	551	21694
124	557	21751
125	561	21738
126	566	21742
127	571	21769
128	576	21758
129	581	21777
130	586	21780
131	591	21799
132	595	21786
133	599	21752
134	602	21719
135	606	21690
136	610	21679
137	614	21658
138	618	21634
139	622	21607
140	626	21600
141	630	21571
142	634	21566
143	638	21539
144	642	21522
145	646	21497
146	652	21550
147	659	21612
148	663	21605
149	668	21602
150	673	21623
151	678	21631
152	682	21606
153	685	21585
154	690	21595
155	696	21633
156	700	21614
157	704	21598
158	709	21586
159	713	21586
160	719	21613
161	724	21641
162	728	21628
163	733	21628
164	739	21674
165	743	21647
166	748	21668
167	753	21660
168	757	21643
169	761	21628
170	765	21613
171	770	21634
172	774	21610
173	778	21602
174	782	21586
175	787	21574
176	791	21565
177	795	21548
178	800	21556
179	804	21530
180	810	21568
181	814	21552
182	818	21557
183	823	21542
184	827	21536
185	831	21522
186	835	21511
187	840	21502
188	844	21487
189	849	21502
190	853	21483
191	857	21471
192	862	21477
193	866	21462
194	870	21455
195	874	21446
196	879	21454
197	884	21440
198	887	21422
199	891	21406
200	896	21401
201	900	21394
202	905	21402
203	910	21399
204	915	21403
205	919	21404
206	924	21399
207	928	21383
208	932	21374
209	936	21363
210	940	21342
211	944	21341
212	949	21328
213	954	21336
214	960	21373
215	964	21360
216	969	21367
217	973	21352
218	977	21349
219	981	21334
220	985	21315
221	989	21300
222	993	21276
223	997	21264
224	1000	21239
225	1004	21221
226	1008	21213
227	1012	21195
228	1016	21180
229	1020	21170
230	1024	21152
231	1028	21145
232	1032	21133
233	1036	21120
234	1041	21121
235	1045	21112
236	1049	21094
237	1053	21085
238	1057	21063
239	1062	21063
240	1065	21049
241	1070	21039
242	1074	21029
243	1077	21009
244	1082	21002
245	1085	20983
246	1090	20977
247	1094	20971
248	1098	20965
249	1102	20953
250	1106	20944
251	1111	20940
252	1116	20953
253	1120	20943
254	1125	20949
255	1129	20935
256	1133	20927
257	1137	20910
258	1141	20896
259	1145	20878
260	1149	20876
261	1153	20861
262	1158	20860
263	1162	20848
264	1166	20841
265	1169	20821
266	1173	20807
267	1177	20798
268	1182	20793
269	1185	20772
270	1189	20758
271	1193	20740
272	1196	20721
273	1200	20711
274	1204	20698
275	1208	20686
276	1212	20671
277	1215	20654
278	1220	20647
279	1224	20637
280	1227	20622
281	1231	20599
282	1235	20590
283	1239	20574
284	1265	20937
285	1269	20926
286	1274	20925
287	1277	20906
288	1282	20905
289	1286	20888
290	1290	20886
291	1295	20894
292	1300	20895
293	1305	20890
294	1309	20878
295	1313	20869
296	1317	20868
297	1322	20863
298	1328	20884
299	1332	20869
300	1336	20863
301	1340	20850
302	1344	20837
303	1348	20834
304	1352	20825
305	1356	20813
306	1360	20795
307	1364	20781
308	1368	20774
309	1372	20769
310	1376	20755
311	1381	20763
312	1386	20766
313	1390	20750
314	1395	20751
315	1399	20742
316	1403	20738
317	1407	20721
318	1411	20713
319	1415	20706
320	1420	20703
321	1425	20710
322	1430	20706
323	1434	20707
324	1438	20689
325	1443	20693
326	1447	20691
327	1451	20679
328	1456	20672
329	1459	20661
330	1464	20657
331	1468	20649
332	1473	20650
333	1478	20651
334	1482	20643
335	1488	20654
336	1492	20650
337	1496	20647
338	1501	20642
339	1507	20658
340	1512	20658
341	1517	20662
342	1522	20668
343	1526	20666
344	1532	20681
345	1538	20690
346	1545	20718
347	1550	20730
348	1556	20739
349	1560	20732
350	1564	20727
351	1576	20823
352	1582	20827
353	1586	20822
354	1590	20814
355	1595	20806
356	1601	20828
357	1606	20832
358	1611	20836
359	1617	20842
360	1623	20867
361	1629	20877
362	1634	20875
363	1639	20880
364	1643	20872
365	1648	20877
366	1654	20890
367	1659	20887
368	1666	20909
369	1670	20901
370	1675	20903
371	1679	20894
372	1684	20893
373	1688	20888
374	1692	20876
375	1697	20872
376	1704	20903
377	1710	20914
378	1715	20915
379	1720	20922
380	1726	20927
381	1731	20927
382	1737	20942
383	1743	20962
384	1749	20971
385	1754	20967
386	1758	20960
387	1762	20949
388	1767	20945
389	1770	20931
390	1775	20924
391	1783	20968
392	1788	20969
393	1793	20969
394	1798	20971
395	1804	20973
396	1808	20971
397	1813	20971
398	1818	20965
399	1822	20957
400	1826	20946
401	1830	20938
402	1834	20929
403	1839	20922
404	1843	20917
405	1847	20909
406	1852	20908
407	1857	20903
408	1861	20890
409	1866	20895
410	1872	20909
411	1876	20895
412	1881	20900
413	1886	20895
414	1890	20886
415	1894	20878
416	1898	20864
417	1902	20851
418	1905	20835
419	1910	20834
420	1913	20816
421	1919	20820
422	1923	20814
423	1927	20804
424	1931	20790
425	1934	20773
426	1938	20761
427	1942	20747
428	1946	20735
429	1949	20723
430	1954	20716
431	1958	20710
432	1963	20704
433	1966	20691
434	1971	20688
435	1975	20674
436	1979	20673
437	1984	20674
438	1989	20668
439	1993	20662
440	1998	20661
441	2003	20659
442	2008	20658
443	2013	20659
444	2018	20659
445	2022	20654
446	2027	20650
447	2032	20648
448	2037	20649
449	2041	20642
450	2045	20634
451	2049	20622
452	2054	20618
453	2058	20614
454	2063	20607
455	2070	20636
456	2075	20630
457	2079	20620
458	2084	20619
459	2088	20609
460	2092	20606
461	2097	20606
462	2101	20594
463	2106	20593
464	2110	20586
465	2115	20585
466	2120	20584
467	2125	20580
468	2129	20575
469	2133	20565
470	2138	20567
471	2143	20566
472	2148	20559
473	2152	20555
474	2156	20544
475	2161	20538
476	2165	20530
477	2169	20527
478	2174	20525
479	2178	20517
480	2183	20513
481	2187	20501
482	2192	20502
483	2196	20493
484	2200	20488
485	2205	20483
486	2209	20471
487	2214	20476
488	2218	20465
489	2223	20462
490	2228	20465
491	2233	20463
492	2238	20462
493	2245	20483
494	2251	20490
495	2255	20484
496	2261	20486
497	2265	20484
498	2270	20477
499	2275	20482
500	2280	20477
501	2285	20476
502	2290	20478
503	2294	20469
504	2299	20463
505	2303	20458
506	2307	20447
507	2312	20444
508	2316	20436
509	2319	20423
510	2323	20414
511	2328	20409
512	2332	20402
513	2337	20401
514	2341	20389
515	2346	20387
516	2351	20392
517	2356	20386
518	2361	20386
519	2365	20379
520	2369	20372
521	2374	20366
522	2378	20361
523	2383	20359
524	2387	20349
525	2392	20351
526	2396	20342
527	2400	20335
528	2405	20331
529	2409	20318
530	2414	20317
531	2417	20304
532	2423	20309
533	2428	20309
534	2433	20308
535	2437	20301
536	2441	20294
537	2445	20285
538	2449	20274
539	2453	20264
540	2457	20257
541	2461	20246
542	2465	20239
543	2469	20226
544	2472	20212
545	2476	20205
546	2481	20198
547	2485	20190
548	2490	20191
549	2494	20185
550	2498	20177
551	2502	20168
552	2507	20167
553	2512	20164
554	2516	20151
555	2520	20147
556	2524	20136
557	2528	20131
558	2532	20119
559	2537	20119
560	2541	20112
561	2546	20106
562	2550	20098
563	2554	20088
564	2557	20077
565	2561	20066
566	2565	20061
567	2569	20049
568	2573	20039
569	2577	20030
570	2581	20024
571	2586	20022
572	2592	20026
573	2596	20024
574	2600	20013
575	2605	20010
576	2611	20018
577	2615	20011
578	2621	20015
579	2626	20013
580	2630	20003
581	2634	20001
582	2638	19991
583	2643	19988
584	2647	19978
585	2651	19975
586	2655	19964
587	2659	19958
588	2663	19948
589	2667	19942
590	2671	19931
591	2675	19923
592	2679	19914
593	2683	19906
594	2688	19900
595	2691	19891
596	2695	19883
597	2699	19872
598	2703	19866
599	2707	19858
600	2712	19854
601	2716	19843
602	2720	19836
603	2724	19827
604	2729	19826
605	2732	19814
606	2737	19811
607	2741	19804
608	2745	19796
609	2749	19788
610	2753	19777
611	2757	19768
612	2761	19759
613	2765	19751
614	2768	19742
615	2772	19732
616	2776	19722
617	2780	19717
618	2785	19713
619	2791	19717
620	2794	19708
621	2799	19701
622	2804	19701
623	2808	19693
624	2813	19694
625	2817	19687
626	2821	19680
627	2826	19676
628	2830	19666
629	2834	19663
630	2838	19651
631	2843	19650
632	2847	19646
633	2851	19636
634	2855	19627
635	2859	19618
636	2862	19607
637	2866	19601
638	2870	19593
639	2875	19586
640	2879	19579
641	2882	19569
642	2886	19561
643	2890	19553
644	2894	19543
645	2898	19533
646	2902	19526
647	2906	19518
648	2910	19510
649	2914	19503
650	2917	19493
651	2921	19484
652	2925	19476
653	2929	19464
654	2933	19456
655	2936	19447
656	2940	19436
657	2944	19429
658	2947	19418
659	2951	19410
660	2955	19400
661	2959	19390
662	2963	19383
663	2967	19376
664	2973	19382
665	2977	19374
666	2981	19369
667	2985	19360
668	2989	19355
669	2993	19348
670	2997	19338
671	3001	19329
672	3005	19322
673	3010	19319
674	3013	19311
675	3018	19307
676	3021	19296
677	3025	19287
678	3029	19277
679	3033	19270
680	3037	19261
681	3041	19257
682	3045	19246
683	3049	19241
684	3053	19231
685	3057	19226
686	3061	19220
687	3065	19214
688	3070	19211
689	3074	19202
690	3078	19195
691	3082	19188
692	3086	19182
693	3090	19176
694	3095	19171
695	3098	19163
696	3103	19157
697	3106	19147
698	3111	19143
699	3115	19135
700	3119	19132
701	3124	19132
702	3128	19122
703	3132	19115
704	3136	19107
705	3140	19102
706	3144	19095
707	3150	19100
708	3155	19095
709	3158	19086
710	3164	19088
711	3169	19085
712	3172	19077
713	3177	19073
714	3181	19069
715	3186	19066
716	3194	19080
717	3198	19072
718	3202	19067
719	3206	19062
720	3210	19053
721	3214	19045
722	3218	19038
723	3222	19030
724	3226	19024
725	3230	19019
726	3234	19009
727	3239	19009
728	3243	19000
729	3247	18998
730	3252	18994
731	3257	18991
732	3263	18996
733	3268	18998
734	3275	19008
735	3280	19004
736	3285	19001
737	3290	19001
738	3295	18998
739	3299	18993
740	3304	18993
741	3309	18990
742	3314	18988
743	3319	18986
744	3323	18983
745	3328	18981
746	3333	18977
747	3340	18988
748	3345	18986
749	3351	18991
750	3356	18989
751	3361	18986
752	3366	18985
753	3372	18992
754	3377	18987
755	3382	18986
756	3388	18991
757	3392	18986
758	3399	18995
759	3407	19010
760	3411	19005
761	3416	19000
762	3421	18998
763	3424	18988
764	3428	18980
765	3432	18970
766	3436	18966
767	3440	18958
768	3444	18951
769	3449	18952
770	3455	18951
771	3460	18954
772	3467	18959
773	3471	18956
774	3476	18951
775	3481	18949
776	3485	18943
777	3489	18935
778	3493	18928
779	3497	18920
780	3500	18911
781	3504	18901
782	3508	18893
783	3511	18885
784	3515	18876
785	3519	18868
786	3524	18867
787	3528	18858
788	3533	18856
789	3537	18852
790	3542	18847
791	3546	18842
792	3550	18836
793	3555	18832
794	3559	18824
795	3563	18819
796	3567	18812
797	3571	18808
798	3575	18801
799	3579	18794
800	3583	18785
801	3587	18778
802	3591	18768
803	3595	18763
804	3599	18755
805	3603	18748
806	3606	18740
807	3610	18733
808	3614	18724
809	3618	18717
810	3622	18708
811	3626	18703
812	3630	18698
813	3634	18689
814	3639	18688
815	3643	18684
816	3648	18677
817	3652	18672
818	3656	18665
819	3660	18659
820	3664	18652
821	3668	18646
822	3672	18639
823	3676	18632
824	3680	18626
825	3685	18622
826	3688	18613
827	3693	18608
828	3696	18600
829	3701	18596
830	3705	18589
831	3709	18583
832	3715	18588
833	3719	18581
834	3725	18580
835	3729	18574
836	3732	18566
837	3737	18564
838	3742	18558
839	3746	18555
840	3750	18548
841	3754	18542
842	3758	18536
843	3762	18528
844	3767	18523
845	3771	18517
846	3775	18510
847	3779	18503
848	3783	18498
849	3787	18492
850	3792	18488
851	3795	18478
852	3800	18475
853	3803	18466
854	3807	18459
855	3811	18453
856	3816	18448
857	3820	18442
858	3824	18435
859	3829	18433
860	3833	18426
861	3837	18424
862	3841	18417
863	3846	18413
864	3851	18410
865	3855	18404
866	3860	18402
867	3864	18394
868	3868	18390
869	3872	18385
870	3877	18380
871	3881	18374
872	3885	18369
873	3890	18368
874	3895	18364
875	3900	18364
876	3906	18367
877	3911	18364
878	3916	18360
879	3921	18361
880	3928	18365
881	3931	18357
882	3937	18359
883	3943	18359
884	3947	18354
885	3953	18357
886	3959	18362
887	3964	18359
888	3969	18355
889	3974	18353
890	3981	18362
891	3987	18365
892	3992	18360
893	3998	18362
894	4002	18358
895	4006	18352
896	4012	18352
897	4016	18348
898	4021	18344
899	4027	18347
900	4032	18346
901	4038	18345
902	4043	18347
903	4048	18345
904	4053	18340
905	4059	18342
906	4065	18345
907	4069	18341
908	4075	18342
909	4079	18337
910	4084	18332
911	4091	18339
912	4098	18347
913	4103	18343
914	4108	18341
915	4113	18339
916	4119	18340
917	4123	18335
918	4128	18331
919	4134	18335
920	4140	18337
921	4144	18333
922	4149	18330
923	4154	18326
924	4158	18321
925	4163	18316
926	4167	18309
927	4171	18304
928	4175	18298
929	4181	18297
930	4185	18293
931	4189	18287
932	4194	18284
933	4198	18278
934	4204	18277
935	4208	18274
936	4212	18267
937	4218	18269
938	4222	18262
939	4227	18258
940	4232	18258
941	4237	18254
942	4242	18253
943	4248	18254
944	4253	18252
945	4259	18252
946	4264	18252
947	4270	18252
948	4275	18249
949	4281	18251
950	4287	18253
951	4292	18251
952	4297	18247
953	4302	18246
954	4307	18242
955	4311	18238
956	4317	18238
957	4322	18236
958	4327	18235
959	4333	18235
960	4337	18229
961	4342	18225
962	4347	18224
963	4351	18217
964	4356	18214
965	4360	18207
966	4364	18202
967	4369	18199
968	4373	18193
969	4378	18191
970	4383	18186
971	4387	18182
972	4393	18181
973	4398	18179
974	4402	18176
975	4407	18172
976	4411	18166
977	4416	18164
978	4420	18156
979	4425	18153
980	4430	18149
981	4434	18142
982	4438	18138
983	4443	18134
984	4447	18130
985	4451	18122
986	4455	18115
987	4460	18111
988	4465	18108
989	4470	18106
990	4474	18100
991	4478	18094
992	4485	18098
993	4489	18095
994	4494	18090
